Update 131/488, T 270336, FPS 180, 50-training-episode: mean/median 23.5/83.3, min/max -93.4/107.9
Update 132/488, T 272384, FPS 180, 50-training-episode: mean/median 26.4/90.0, min/max -93.4/108.7
Update 133/488, T 274432, FPS 180, 50-training-episode: mean/median 23.5/83.3, min/max -87.5/108.7
Update 134/488, T 276480, FPS 180, 50-training-episode: mean/median 8.8/-44.9, min/max -78.2/108.7
Update 135/488, T 278528, FPS 179, 50-training-episode: mean/median 14.7/19.1, min/max -80.9/105.4
Update 136/488, T 280576, FPS 179, 50-training-episode: mean/median 14.8/19.1, min/max -80.9/107.9
Update 137/488, T 282624, FPS 179, 50-training-episode: mean/median 20.9/77.9, min/max -83.8/107.9
Update 138/488, T 284672, FPS 179, 50-training-episode: mean/median 17.1/76.4, min/max -83.8/107.9
Update 139/488, T 286720, FPS 179, 50-training-episode: mean/median 35.4/86.6, min/max -83.8/106.8
Update 140/488, T 288768, FPS 179, 50-training-episode: mean/median 51.0/87.0, min/max -80.1/106.8
Update 141/488, T 290816, FPS 179, 50-training-episode: mean/median 42.3/86.6, min/max -80.1/106.8
Update 142/488, T 292864, FPS 179, 50-training-episode: mean/median 35.5/85.7, min/max -81.6/105.4
Update 143/488, T 294912, FPS 179, 50-training-episode: mean/median 23.2/79.8, min/max -81.6/107.8
Update 144/488, T 296960, FPS 179, 50-training-episode: mean/median 36.6/85.6, min/max -81.6/107.8
Update 145/488, T 299008, FPS 179, 50-training-episode: mean/median 35.3/89.6, min/max -80.3/109.0
Update 146/488, T 301056, FPS 179, 50-training-episode: mean/median 56.8/94.0, min/max -75.0/109.0
Update 147/488, T 303104, FPS 179, 50-training-episode: mean/median 42.3/87.2, min/max -75.0/106.4
Update 148/488, T 305152, FPS 179, 50-training-episode: mean/median 32.4/84.7, min/max -75.0/106.4
Update 149/488, T 307200, FPS 179, 50-training-episode: mean/median 27.0/83.8, min/max -74.7/106.6
Update 150/488, T 309248, FPS 180, 50-training-episode: mean/median 47.3/92.6, min/max -75.0/106.6
Update 151/488, T 311296, FPS 180, 50-training-episode: mean/median 35.7/91.3, min/max -75.0/104.3
Update 152/488, T 313344, FPS 180, 50-training-episode: mean/median 38.9/90.3, min/max -81.2/107.2
Update 153/488, T 315392, FPS 180, 50-training-episode: mean/median 23.6/88.7, min/max -81.2/107.2
Update 154/488, T 317440, FPS 180, 50-training-episode: mean/median 23.3/87.0, min/max -81.2/107.2
Update 155/488, T 319488, FPS 180, 50-training-episode: mean/median 13.6/-49.1, min/max -77.5/104.4
Update 156/488, T 321536, FPS 180, 50-training-episode: mean/median 19.9/83.3, min/max -77.5/106.0
Update 157/488, T 323584, FPS 180, 50-training-episode: mean/median 20.7/83.3, min/max -77.5/106.0
Update 158/488, T 325632, FPS 180, 50-training-episode: mean/median 30.1/86.6, min/max -77.5/106.4
Update 159/488, T 327680, FPS 180, 50-training-episode: mean/median 39.9/88.1, min/max -78.5/107.9
Update 160/488, T 329728, FPS 180, 50-training-episode: mean/median 30.3/85.0, min/max -78.5/107.9
Update 161/488, T 331776, FPS 180, 50-training-episode: mean/median 38.8/85.7, min/max -75.0/107.3
Update 162/488, T 333824, FPS 180, 50-training-episode: mean/median 37.9/87.1, min/max -78.8/105.7
Update 163/488, T 335872, FPS 180, 50-training-episode: mean/median 38.7/88.4, min/max -81.2/105.0
